query,rank,doc_id,score,title,snippet,url,published,relevant,note
agent,1,65,0.159278,Trace2Skill: Verifier-Guided Skill Evolution for Long-Context EDA Agents,"Complex Verilog Design Problems (CVDP) challenge hardware LLM agents because solving them requires localizing verifier-relevant RTL, testbenches, include paths, and build dependencies inside large repository snapshots...",https://arxiv.org/abs/2605.21810,20 May 2026,,
agent,2,103,0.141951,Agentic CLEAR: Automating Multi-Level Evaluation of LLM Agents,"Agentic systems are becoming more capable: agents define strategies, take actions, and interact with different environments.",https://arxiv.org/abs/2605.22608,21 May 2026,,
agent,3,5,0.140656,Advancing Mathematics Research with AI-Driven Formal Proof Search,"Our most capable agent autonomously resolved 9 of 353 open Erdős problems at the per-problem cost of a few hundred dollars, proved 44/492 OEIS conjectures, and is being deployed in combinatorics, optimization, graph t...",https://arxiv.org/abs/2605.22763,21 May 2026,,
agent,4,26,0.120868,Compiling Agentic Workflows into LLM Weights: Near-Frontier Quality at Two Orders of Magnitude Less Cost,"Agent orchestration frameworks have proliferated, collectively exceeding 290,000 GitHub stars across LangGraph, CrewAI, Google ADK, OpenAI Agents SDK, Semantic Kernel, Strands, and LlamaIndex.",https://arxiv.org/abs/2605.22502,21 May 2026,,
agent,5,58,0.115108,Echo: Learning from Experience Data via User-Driven Refinement,"Continuous learning from ""experience data"" - interactions between agents and their environments - promises to transcend these barriers.",https://arxiv.org/abs/2605.21984,21 May 2026,,
agent,6,24,0.112737,Towards Direct Evaluation of Harness Optimizers via Priority Ranking,Harness optimization enables automated agent creation by having an optimizer agent iteratively update the harness of target agents.,https://arxiv.org/abs/2605.22505,21 May 2026,,
agent,7,43,0.078059,"Adapting the Interface, Not the Model: Runtime Harness Adaptation for Deterministic LLM Agents","LLM agents are shaped not only by their language models, but also by the runtime harness that mediates observation, tool use, action execution, feedback interpretation, and trajectory control.",https://arxiv.org/abs/2605.22166,21 May 2026,,
agent,8,23,0.074748,Search-E1: Self-Distillation Drives Self-Evolution in Search-Augmented Reasoning,Post-training has become the dominant recipe for turning a language model into a competent search-augmented reasoning agent.,https://arxiv.org/abs/2605.22511,21 May 2026,,
agent,9,56,0.072849,"The Log is the Agent: Event-Sourced Reactive Graphs for Auditable, Forkable Agentic Systems","Most agent frameworks are built around the language model: a conversation loop comes first, then tools, then rules, and finally a logging layer bolted on for observability, with state persisted as retrievable ""memory....",https://arxiv.org/abs/2605.21997,21 May 2026,,
agent,10,1,0.072481,MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems,"Autonomous agentic systems are largely static after deployment: they do not learn from user interactions, and recurring failures persist until the next human-driven update ships a fix.",https://arxiv.org/abs/2605.22794,21 May 2026,,
