doc_id,title,field,extracted_value,evidence,manual_correct,comment
1,MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems,research_tasks,autonomous agents,"MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems. | Autonomous agentic systems are largely static after deployment: they do not learn from user interactions, and recurring failures persist until the next human-driven update ships a fix. | Self-evolving agents have emerged in response, but all confine evolution to text-mutable artifacts -- skill files, prompt configurations, memory schemas, workflow graphs -- and leave the agent harness untouched.",1,Supported by title/abstract evidence.
1,MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems,methods,self-improvement,"MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems. | Autonomous agentic systems are largely static after deployment: they do not learn from user interactions, and recurring failures persist until the next human-driven update ships a fix. | Self-evolving agents have emerged in response, but all confine evolution to text-mutable artifacts -- skill files, prompt configurations, memory schemas, workflow graphs -- and leave the agent harness untouched.",1,Supported by title/abstract evidence.
1,MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems,tfidf_keyphrases,moss; batch; source-level; text-mutable; evolution; ordering; text; autonomous,"MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems. | Autonomous agentic systems are largely static after deployment: they do not learn from user interactions, and recurring failures persist until the next human-driven update ships a fix. | Self-evolving agents have emerged in response, but all confine evolution to text-mutable artifacts -- skill files, prompt configurations, memory schemas, workflow graphs -- and leave the agent harness untouched.",1,Supported by title/abstract evidence.
1,MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems,application_domains,software,"MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems. | Autonomous agentic systems are largely static after deployment: they do not learn from user interactions, and recurring failures persist until the next human-driven update ships a fix. | Self-evolving agents have emerged in response, but all confine evolution to text-mutable artifacts -- skill files, prompt configurations, memory schemas, workflow graphs -- and leave the agent harness untouched.",1,Supported by title/abstract evidence.
1,MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems,sustainability_points,human/social impact,"MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems. | Autonomous agentic systems are largely static after deployment: they do not learn from user interactions, and recurring failures persist until the next human-driven update ships a fix. | Self-evolving agents have emerged in response, but all confine evolution to text-mutable artifacts -- skill files, prompt configurations, memory schemas, workflow graphs -- and leave the agent harness untouched.",1,Supported by title/abstract evidence.
1,MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems,system_names,CLI; MOSS,"MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems. | Autonomous agentic systems are largely static after deployment: they do not learn from user interactions, and recurring failures persist until the next human-driven update ships a fix. | Self-evolving agents have emerged in response, but all confine evolution to text-mutable artifacts -- skill files, prompt configurations, memory schemas, workflow graphs -- and leave the agent harness untouched.",1,Supported by title/abstract evidence.
2,Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention,research_tasks,reasoning; retrieval,"Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention. | Delta-rule models subtract the current read before writing a new value, and Kimi Delta Attention (KDA) sharpens forgetting with channel-wise decay. | But the active edit still uses a single scalar gate to control two different things: how much old content to erase on the key side and how much new content to commit on the value side.",0,"False positive: the paper is about linear attention, not mainly reasoning/retrieval."
2,Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention,methods,transformers,"Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention. | Delta-rule models subtract the current read before writing a new value, and Kimi Delta Attention (KDA) sharpens forgetting with channel-wise decay. | But the active edit still uses a single scalar gate to control two different things: how much old content to erase on the key side and how much new content to commit on the value side.",1,Supported by title/abstract evidence.
2,Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention,tfidf_keyphrases,gated; channel-wise; erase; kda; decay; deltanet; deltanet-2; gate,"Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention. | Delta-rule models subtract the current read before writing a new value, and Kimi Delta Attention (KDA) sharpens forgetting with channel-wise decay. | But the active edit still uses a single scalar gate to control two different things: how much old content to erase on the key side and how much new content to commit on the value side.",1,Supported by title/abstract evidence.
2,Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention,application_domains,software,"Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention. | Delta-rule models subtract the current read before writing a new value, and Kimi Delta Attention (KDA) sharpens forgetting with channel-wise decay. | But the active edit still uses a single scalar gate to control two different things: how much old content to erase on the key side and how much new content to commit on the value side.",0,False positive: model architecture optimization is not a software application domain.
