doc_id,title,arxiv_id,publication_year,author_count,research_tasks,methods,datasets,metrics,tfidf_keyphrases,application_domains,sustainability_points,system_names,confidence
1,MOSS: Self-Evolution through Source-Level Rewriting in Autonomous Agent Systems,2605.22794,2026,7,autonomous agents,self-improvement,,,moss; batch; source-level; text-mutable; evolution; ordering; text; autonomous,software,human/social impact,CLI; MOSS,0.74
2,Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention,2605.22791,2026,3,reasoning; retrieval,transformers,,,gated; channel-wise; erase; kda; decay; deltanet; deltanet-2; gate,software,computing efficiency,KDA; RULER,0.74
3,LCGuard: Latent Communication Guard for Safe KV Sharing in Multi-Agent Systems,2605.22786,2026,5,autonomous agents; reasoning,large language models; transformers,,,lcguard; sensitive; latent; communication; caches; multi-agent; inputs; learns,,computing efficiency; privacy/security; safety/robustness,KV-; LLM,0.64
4,Deep Reinforcement Learning for Flexible Job Shop Scheduling with Random Job Arrivals,2605.22773,2026,5,reinforcement learning,benchmarking,,,job; drl; gls; fjsp; the; arrival; arrivals.; dispatching,software,computing efficiency,DRL; FJSP,0.74
5,Advancing Mathematics Research with AI-Driven Formal Proof Search,2605.22763,2026,20,reasoning; retrieval,large language models,,,formal; erd; mathematics; proved; problems.; proof; open; research.,science,computing efficiency,AI-; LLM-; OEIS,0.74
6,Towards a General Intelligence and Interface for Wearable Health Data,2605.22759,2026,40,retrieval,large language models; prompting,,,health; wearable; and; cohort; factors.; lifestyle; data; improvements,,computing efficiency; safety/robustness,LLM,0.64
7,HarnessAPI: A Skill-First Framework for Unified Streaming APIs and MCP Tools,2605.22733,2026,1,,large language models,,,harnessapi; mcp; streaming; http; tool; clients; endpoint; fastapi,software,human/social impact,HTTP; JSON-; LLM; MCP; SSE-,0.58
8,Beyond Acoustic Emotion Recognition: Multimodal Pathos Analysis in Political Speech Using LLM-Based and Acoustic Emotion Models,2605.22732,2026,1,autonomous agents,large language models; benchmarking,,,speech; acoustic; emotion; valence; analysis; gemini; political; recognition,,fairness/bias; human/social impact,EMO-DB; LLM; LLM-; SER; TRUST; TRUST-,0.64
9,Can AI Make Conflicts Worse? An Alignment Failure in LLM Deployment Across Conflict Contexts,2605.22720,2026,1,alignment,large language models,,,conflict; humanitarian; failure; conflicts; nine; already; configurations; outputs,,safety/robustness,LLM,0.64
10,Parametric Modular Answer Set Programs Made Declarative,2605.22716,2026,3,,,,,modular; asp; formalism; programs; answer; parametric; set; asp.,software,,ASP,0.32
11,AMEL: Accumulated Message Effects on LLM Judgments,2605.22714,2026,1,,large language models,,,history; the; accumulated; amel; items; message; polarity; judgments,software,,AMEL; LLM,0.48
12,Beyond the Org Chart: AI and the Transformation of Invisible Work,2605.22707,2026,2,,,,,professional; changing; work; and; company; individuals; informal; invisible,,,AI-,0.22
13,Forecasting Scientific Progress with Artificial Intelligence,2605.22681,2026,10,reasoning,benchmarking,,,scientific; progress; forecasting; knowledge; prediction.; whether; events; access,science,,CUSP,0.64
14,Is Capability a Liability? More Capable Language Models Make Worse Forecasts When It Matters Most,2605.22672,2026,3,,large language models; benchmarking,,accuracy,forecasting; tail; capable; the; capability--accuracy; inverse; outputs.; relationship,finance,computing efficiency,COVID-19; LLM; SIR,0.7
15,WorkstreamBench: Evaluating LLM Agents on End-to-End Spreadsheet Tasks in Finance,2605.22664,2026,12,,large language models; benchmarking,,accuracy,agents; spreadsheet; workflows; reflect; end-to-end; comprising; financial; professional,finance,human/social impact,LLM,0.7
16,Claw AI Lab: An Autonomous Multi-Agent Research Team,2605.22662,2026,15,autonomous agents,,,,research; claw; lab; autonomous; result; and; platform; interactive,software; science,safety/robustness,,0.5
17,AtelierEval: Agentic Evaluation of Humans & LLMs as Text-to-Image Prompters,2605.22645,2026,9,planning,large language models; prompting; benchmarking,,,ateliereval; t2i; humans; proficiency; prompters.; text-to-image; upstream; human,,human/social impact,T2I,0.64
18,Spreadsheet-RL: Advancing Large Language Model Agents on Realistic Spreadsheet Tasks via Reinforcement Learning,2605.22642,2026,12,reinforcement learning,large language models; fine-tuning; prompting; benchmarking,,pass@k,spreadsheet; spreadsheet-rl; excel; domain-spreadsheet; gym; microsoft; designed; tasks,finance,,AI-; LLM-,0.76
19,Think Thrice Before You Speak: Dual knowledge-enhanced Theory-of-Mind Reasoning for Persuasive Agents,2605.22602,2026,10,reasoning,large language models; prompting,,,persuasive; mental; states; desires; knowledge-enhanced; speak; think; thrice,,,BDI; BPD; GPT-5; TTBYS,0.54
